movie_id,title,overview,runtime,Director,Actor_1,Actor_2,Actor_3,budget,revenue,original_language,release_date,genre_1,genre_2,genre_3,genre_4,genre_5,Country_1,Country_2,Country_3,Country_4,Country_5,vote_average,vote_count
286217,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",141.0,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,108000000,630161890,English,2015-09-30,Drama,Adventure,Science Fiction,,,United States of America,,,,,7.6,7268
98,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",155.0,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,103000000,457640427,English,2000-05-01,Action,Drama,Adventure,,,United Kingdom,United States of America,,,,7.9,5439
180,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",145.0,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,102000000,358372926,English,2002-06-20,Action,Thriller,Science Fiction,Mystery,,United States of America,,,,,7.1,2608
869,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",119.0,Tim Burton,Mark Wahlberg,Tim Roth,Helena Bonham Carter,100000000,362211740,English,2001-07-25,Thriller,Science Fiction,Action,Adventure,,United States of America,,,,,5.6,1243
4982,American Gangster,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",157.0,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,100000000,266465037,English,2007-11-02,Drama,Crime,,,,United Kingdom,United States of America,,,,7.4,1502
106646,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",180.0,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,100000000,392000694,English,2013-12-25,Crime,Drama,Comedy,,,United States of America,,,,,7.9,6571
3131,Gangs of New York,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",167.0,Martin Scorsese,Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,100000000,193772504,English,2002-12-14,Drama,History,Crime,,,United States of America,Italy,,,,7.1,1910
855,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",144.0,Ridley Scott,Josh Hartnett,Ewan McGregor,Jason Isaacs,92000000,172989651,English,2001-12-28,Action,History,War,,,United Kingdom,United States of America,,,,7.2,1811
1408,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",119.0,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,98000000,10017322,English,1995-12-22,Action,Adventure,,,,France,Germany,Italy,United States of America,,5.7,136
1422,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",151.0,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,90000000,289847354,English,2006-10-05,Drama,Thriller,Crime,,,Hong Kong,United States of America,,,,7.9,4339
644,A.I. Artificial Intelligence,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",146.0,Steven Spielberg,Haley Joel Osment,Frances O'Connor,Sam Robards,100000000,235926552,English,2001-06-29,Drama,Science Fiction,Adventure,,,United States of America,,,,,6.8,1974
161,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",116.0,Steven Soderbergh,George Clooney,Brad Pitt,Matt Damon,85000000,450717150,English,2001-12-07,Thriller,Crime,,,,United States of America,,,,,7.2,3783
298,Ocean's Thirteen,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",122.0,Steven Soderbergh,George Clooney,Brad Pitt,Matt Damon,85000000,311312624,English,2007-06-07,Crime,Thriller,,,,United States of America,,,,,6.5,1999
364,Batman Returns,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.",126.0,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,80000000,280000000,English,1992-06-19,Action,Fantasy,,,,United Kingdom,United States of America,,,,6.6,1673
11324,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",138.0,Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,80000000,294804195,English,2010-02-18,Drama,Thriller,Mystery,,,United States of America,,,,,7.8,6336
75,Mars Attacks!,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",106.0,Tim Burton,Jack Nicholson,Glenn Close,Annette Bening,70000000,101371017,English,1996-12-12,Comedy,Fantasy,Science Fiction,,,United States of America,,,,,6.1,1509
330,The Lost World: Jurassic Park,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that Hammond has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.",129.0,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,73000000,229074524,English,1997-05-23,Adventure,Action,Science Fiction,,,United States of America,,,,,6.2,2487
11026,Exorcist: The Beginning,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin unearths an ancient Byzantine church believed have been built and then immediately buried to keep down evil from the crypt below. The natives are convinced that uncovering the church has unleashed a demon, and begin to violently clash with the British military troops. As the village rapidly disintegrates into chaos and war, Merrin must face-off with the demon which has taken possession of somebody close to him.",114.0,Renny Harlin,Stellan Skarsgård,Izabella Scorupco,James D'Arcy,80000000,78000586,English,2004-08-20,Horror,Mystery,Thriller,,,United States of America,,,,,4.7,183
594,The Terminal,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",128.0,Steven Spielberg,Tom Hanks,Catherine Zeta-Jones,Stanley Tucci,60000000,219417255,English,2004-06-17,Comedy,Drama,,,,United States of America,,,,,7.0,1910
612,Munich,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",164.0,Steven Spielberg,Eric Bana,Daniel Craig,Ciarán Hinds,70000000,130358911,English,2005-12-22,Drama,Action,History,Thriller,,Canada,United States of America,France,,,6.9,696
10477,Driven,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",116.0,Renny Harlin,Kip Pardue,Robert Sean Leonard,Til Schweiger,94000000,54744738,English,2001-04-27,Action,,,,,Australia,Canada,United States of America,,,4.5,179
879,Hook,"The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg.",144.0,Steven Spielberg,Robin Williams,Dustin Hoffman,Julia Roberts,70000000,300854823,English,1991-12-11,Adventure,Fantasy,Comedy,Family,,United States of America,,,,,6.6,1532
1573,Die Hard 2,"John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",124.0,Renny Harlin,Bruce Willis,Bonnie Bedelia,William Atherton,70000000,240031094,English,1990-07-02,Action,Thriller,,,,United States of America,,,,,6.6,1896
587,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",125.0,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,70000000,122919055,English,2003-12-25,Adventure,Fantasy,Drama,,,United States of America,,,,,7.6,1994
57212,War Horse,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",146.0,Steven Spielberg,Tom Hiddleston,Benedict Cumberbatch,Toby Kebbell,66000000,177584879,English,2011-12-25,Drama,War,,,,United States of America,,,,,7.0,992
188207,The Legend of Hercules,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.",99.0,Renny Harlin,Kellan Lutz,Liam McIntyre,Gaia Weiss,70000000,61279452,English,2014-01-10,Action,Adventure,,,,United States of America,,,,,4.4,533
12113,Body of Lies,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",128.0,Ridley Scott,Leonardo DiCaprio,Russell Crowe,Mark Strong,70000000,113280098,English,2008-10-10,Action,Drama,Thriller,,,United States of America,United Kingdom,,,,6.5,895
857,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",169.0,Steven Spielberg,Tom Hanks,Matt Damon,Vin Diesel,70000000,481840909,English,1998-07-24,Drama,History,War,,,United States of America,,,,,7.9,5048
72976,Lincoln,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",149.0,Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn,65000000,275293450,English,2012-11-09,History,Drama,,,,India,United States of America,,,,6.7,1429
5551,Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",130.0,Clint Eastwood,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,65000000,128884132,English,2000-07-31,Action,Adventure,Thriller,,,United States of America,,,,,6.3,403
9350,Cliffhanger,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",112.0,Renny Harlin,Sylvester Stallone,John Lithgow,Michael Rooker,70000000,255000211,English,1993-05-28,Action,Adventure,Thriller,,,France,Italy,United States of America,,,6.1,588
11412,The Long Kiss Goodnight,"Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent",120.0,Renny Harlin,Geena Davis,Samuel L. Jackson,Yvonne Zima,65000000,89456761,English,1996-10-11,Crime,Action,Mystery,Thriller,,United States of America,,,,,6.5,314
189,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,102.0,Robert Rodriguez,Mickey Rourke,Jessica Alba,Josh Brolin,65000000,39407616,English,2014-08-20,Crime,Thriller,,,,United States of America,,,,,6.3,1286
329,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",127.0,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,63000000,920100000,English,1993-06-11,Adventure,Science Fiction,,,,United States of America,,,,,7.6,4856
8914,Deep Blue Sea,"On a remote former submarine refueling facility called Aquatica, a team of scientists are searching for a cure for Alzheimer's disease. Dr. Susan McAlester genetically engineers three Mako sharks, intending to increase their brain capacity so that they can harvest the tissue as a cure for Alzheimer's. Unfortunately, the increased brain capacity also makes the sharks smarter, faster, and more dangerous. Aquatica's financial backers are skeptical and nervous about the tests, and send a corporate executive to visit the facility.",105.0,Renny Harlin,Thomas Jane,Saffron Burrows,LL Cool J,60000000,73648228,English,1999-07-28,Action,Science Fiction,Thriller,,,Australia,United States of America,,,,5.6,604
39538,Contagion,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",106.0,Steven Soderbergh,Matt Damon,Gwyneth Paltrow,Kate Winslet,60000000,137551594,English,2011-09-08,Drama,Thriller,Science Fiction,,,United States of America,United Arab Emirates,,,,6.2,1325
22954,Invictus,"Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match.",134.0,Clint Eastwood,Morgan Freeman,Matt Damon,Tony Kgoroge,60000000,122233971,English,2009-12-10,Drama,History,,,,United States of America,,,,,7.0,1125
190859,American Sniper,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",133.0,Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner,58800000,542307423,English,2014-12-11,War,Action,,,,United States of America,,,,,7.4,4469
3580,Changeling,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",141.0,Clint Eastwood,Angelina Jolie,Jeffrey Donovan,John Malkovich,55000000,113020255,English,2008-01-30,Crime,Drama,Mystery,,,United States of America,,,,,7.3,1131
3683,Flags of Our Fathers,"There were five Marines and one Navy Corpsman photographed raising the U.S. flag on Mt. Suribachi by Joe Rosenthal on February 23, 1945. This is the story of three of the six surviving servicemen – John 'Doc' Bradley, Pvt. Rene Gagnon and Pvt. Ira Hayes, who fought in the battle to take Iwo Jima from the Japanese.",132.0,Clint Eastwood,Ryan Phillippe,Adam Beach,Jesse Bradford,90000000,65900249,English,2006-10-18,War,Drama,History,,,United States of America,,,,,6.7,526
285923,Grindhouse,Two full length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two film feature. Including fake movie trailers in between both movies.,191.0,Robert Rodriguez,Kurt Russell,Zoë Bell,Rosario Dawson,67000000,25037897,English,2007-04-06,Thriller,Action,Horror,,,United States of America,,,,,6.8,459
640,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",141.0,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,52000000,352114312,English,2002-12-25,Drama,Crime,,,,United States of America,,,,,7.7,3795
524,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,178.0,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,52000000,116112375,English,1995-11-22,Drama,Crime,,,,France,United States of America,,,,7.8,1307
462,Erin Brockovich,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",131.0,Steven Soderbergh,Julia Roberts,Albert Finney,Aaron Eckhart,52000000,256271286,English,2000-03-17,Drama,,,,,United States of America,,,,,7.1,716
388,Inside Man,"Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations.",129.0,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,45000000,184376254,English,2006-03-23,Crime,Drama,Thriller,,,United States of America,,,,,7.3,1630
66,Absolute Power,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,121.0,Clint Eastwood,Clint Eastwood,Gene Hackman,Ed Harris,50000000,50068310,English,1997-02-14,Crime,Drama,Thriller,,,United States of America,,,,,6.4,223
4421,G.I. Jane,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,125.0,Ridley Scott,Demi Moore,Viggo Mortensen,Anne Bancroft,50000000,48169156,English,1997-08-22,Action,Drama,,,,United States of America,,,,,6.0,395
14199,The Adventures of Sharkboy and Lavagirl,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",92.0,Robert Rodriguez,Taylor Lautner,Taylor Dooley,Cayden Boyd,50000000,69425966,English,2005-06-10,Adventure,Family,Science Fiction,,,United States of America,,,,,4.4,269
44603,Hereafter,"A supernatural thriller centered on three people -- a blue-collar American, a French journalist and a London school boy -- who are touched by death in different ways.",129.0,Clint Eastwood,Matt Damon,Bryce Dallas Howard,George McLaren,50000000,105197635,English,2010-10-15,Drama,Fantasy,,,,United States of America,,,,,5.8,510
9573,Blood Work,"Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.",110.0,Clint Eastwood,Clint Eastwood,Jeff Daniels,Anjelica Huston,50000000,26199517,English,2002-08-04,Crime,Drama,Mystery,Thriller,,United States of America,,,,,6.1,206
