Actor,Date of Birth,Country,Net Worth (USD)
Ciarán Hinds,1953-02-09,Northern Ireland,10000000
Clea DuVall,1972-09-25,United States of America,10000000
Clint Eastwood,1930-05-31,United States of America,375000000
Clive Owen,1964-03-03,Wales,30000000
Colin Farrell,1976-05-31,Ireland,80000000
Connie Nielsen,1965-07-03,Denmark,10000000
Cybill Shepherd,1950-02-18,United States of America,25000000
D. L. Hughley,1963-03-06,United States of America,10000000
Dakota Fanning,1994-02-23,United States of America,20000000
Damon Wayans,1960-04-04,United States of America,20000000
Dan Aykroyd,1952-07-01,Canada,140000000
Daniel Craig,1968-03-02,England,160000000
Daniel Day-Lewis,1957-04-29,England,160000000
Danny Aiello,1933-06-20,United States of America,25000000
Danny DeVito,1944-11-17,United States of America,100000000
Danny Glover,1946-07-22,United States of America,60000000
Danny Trejo,1944-05-16,United States of America,16000000
Daryl Sabara,1992-02-14,United States of America,5000000
David Duchovny,1960-08-07,United States of America,60000000
David Huffman,1948-02-10,United States of America,20000000
David Kelly,1929-04-12,Ireland,10000000
David Patrick Kelly,1953-01-12,United States of America,10000000
David Proval,1949-05-20,United States of America,N/A
David Strathairn,1949-02-14,United States of America,20000000
Delroy Lindo,1952-11-11,United States of America,10000000
Demi Moore,1962-11-11,United States of America,200000000
Denholm Elliott,1922-05-31,England,10000000
Denzel Washington,1954-12-28,United States of America,280000000
Derek Luke,1976-02-29,United States of America,1000000
Devon Aoki,1982-08-10,United States of America,10000000
Diane Keaton,1946-01-05,United States of America,80000000
Dianne Wiest,1946-03-28,United States of America,20000000
Diva Gray,1976-01-01,United States of America,N/A
Donald Sutherland,1935-07-17,Canada,40000000
Drew Barrymore,1975-02-22,United States of America,120000000
Dustin Hoffman,1937-08-08,United States of America,200000000
Ed Harris,1950-11-28,United States of America,70000000
Edward Norton,1969-08-18,United States of America,30000000
Elijah Wood,1981-01-28,United States of America,20000000
Ellen Page,1987-02-18,Canada,12000000
Elvis Nolasco,1968-03-07,United States of America,10000000
Emily Mortimer,1971-12-11,England,10000000
Emily Watson,1967-09-14,England,10000000
Eric Bana,1968-08-09,Australia,30000000
Eva Green,1980-07-06,France,10000000
Evan Rachel Wood,1987-09-07,United States of America,12000000
Ewan McGregor,1971-03-31,Scotland,50000000
Felicia Pearson,1970-08-13,United States of America,N/A
Frances O'Connor,1969-05-17,Australia,10000000
Frank Langella,1938-01-01,United States of America,20000000
François Truffaut,1932-02-06,France,N/A
Freddie Highmore,1992-02-14,England,10000000
Freddie Jones,1927-02-03,England,10000000
Freya Tingley,1994-08-19,Australia,N/A
Gaia Weiss,1991-08-31,France,N/A
Geena Davis,1956-01-25,United States of America,25000000
Gemma Jones,1942-04-04,England,10000000
Gene Hackman,1930-01-30,United States of America,80000000
Geoff Pierson,1948-02-23,United States of America,10000000
George Clooney,1961-05-06,United States of America,500000000
George Hamilton,1939-08-12,United States of America,20000000
George McLaren,1954-02-14,United States of America,N/A
Giancarlo Esposito,1958-04-26,United States of America,16000000
Gina Carano,1982-04-16,United States of America,10000000
Glenn Close,1947-03-19,United States of America,80000000
Guy Pearce,1967-09-06,Australia,20000000
Gwyneth Paltrow,1972-09-27,United States of America,160000000
Haley Joel Osment,1995-04-07,United States of America,10000000
Harrison Ford,1942-07-13,United States of America,230000000
Harvey Keitel,1939-03-13,United States of America,50000000
Helen Hunt,1963-06-15,United States of America,100000000
Helena Bonham Carter,1966-05-04,England,20000000
Henry Thomas,1971-09-09,United States of America,10000000
Hilary Swank,1974-07-30,United States of America,60000000
Hugh Jackman,1968-10-12,Australia,180000000
Isaiah Washington,1963-08-03,United States of America,10000000
Izabella Scorupco,1970-03-04,Poland,10000000
Jack Nicholson,1937-04-22,United States of America,400000000
Jacob Vargas,1971-03-14,United States of America,10000000
James D'Arcy,1979-08-24,England,10000000
James Spader,1960-02-07,United States of America,20000000
Jamie Bell,1986-03-14,England,20000000
Jason Biggs,1978-05-12,United States of America,20000000
Jason Isaacs,1963-06-22,England,10000000
Javier Bardem,1969-03-01,Spain,65000000
Jeff Bridges,1949-12-04,United States of America,100000000
Jeff Daniels,1955-02-19,United States of America,30000000
Jeff Goldblum,1952-12-22,United States of America,40000000
Jeffrey Donovan,1962-05-11,United States of America,10000000
Jennifer Lopez,1969-07-24,United States of America,400000000
Jennifer Tilly,1958-09-16,United States of America,50000000
Jeremy Irons,1948-09-19,England,25000000
Jesse Bradford,1979-12-01,United States of America,10000000
Jesse Eisenberg,1983-10-05,United States of America,80000000
Jessica Alba,1981-04-28,United States of America,200000000
Jessica Chastain,1977-03-24,United States of America,50000000
Jessica Lange,1949-04-20,United States of America,100000000
Jessica Lucas,1985-09-24,Canada,10000000
Jimmy Bennett,1996-02-09,United States of America,5000000
Joaquim de Almeida,1957-03-16,Portugal,10000000
Joaquin Phoenix,1974-10-28,United States of America,100000000
Jodie Foster,1962-11-19,United States of America,100000000
Joe Mantegna,1947-11-13,United States of America,20000000
Joe Pesci,1943-02-09,United States of America,80000000
Joel Edgerton,1974-06-23,Australia,20000000
Joel McHale,1971-02-20,United States of America,20000000
John Beck,1946-07-15,United States of America,10000000
John Belushi,1949-01-24,United States of America,15000000
John Canada Terrell,1963-05-09,United States of America,10000000
John Carradine,1906-01-05,United States of America,10000000
John Cena,1977-04-23,United States of America,80000000
John Cusack,1966-06-28,United States of America,60000000
John Goodman,1952-06-20,United States of America,65000000
John Larroquette,1947-07-25,United States of America,20000000
John Leguizamo,1964-07-22,Colombia,25000000
John Lithgow,1945-10-19,United States of America,35000000
John Malkovich,1953-12-09,United States of America,45000000
John Savage,1945-02-25,United States of America,10000000
John Turturro,1957-02-28,United States of America,30000000
Johnny Depp,1963-06-09,United States of America,200000000
Jolie Vanier,1994-04-29,United States of America,N/A
Jonah Hill,1983-12-20,United States of America,60000000
Jonathan Ke Quan,1971-02-20,Vietnam,10000000
Jonathan Rhys Meyers,1977-07-04,Ireland,10000000
Jonny Lee Miller,1972-11-15,England,10000000
Jordana Brewster,1980-04-26,Panama,25000000
Josh Brolin,1971-02-12,United States of America,50000000
Josh Hamilton,1970-03-07,United States of America,10000000
Josh Hartnett,1978-07-21,United States of America,30000000
Jude Law,1972-12-29,England,60000000
Judy Davis,1955-02-13,Australia,10000000
Julia Roberts,1967-10-28,United States of America,250000000
Julianne Moore,1960-12-03,United States of America,140000000
Karen Allen,1951-10-19,United States of America,10000000
Kat Dennings,1986-06-13,United States of America,20000000
Kate Beckinsale,1973-07-26,England,25000000
Kate Capshaw,1953-11-03,United States of America,20000000
Kate Winslet,1975-10-05,England,160000000
Kathryn Morris,1968-01-23,United States of America,10000000
Kazunari Ninomiya,1981-01-17,Japan,10000000
Keith Richards,1943-12-18,England,500000000
Kellan Lutz,1985-03-15,United States of America,12000000
Ken Sagoes,1968-03-18,United States of America,10000000
Ken Watanabe,1959-10-02,Japan,20000000
Kenneth Branagh,1960-12-10,Northern Ireland,60000000
Kevin Bacon,1958-07-08,United States of America,60000000
Kevin Spacey,1959-07-26,United States of America,100000000
Kim Basinger,1953-12-08,United States of America,120000000
Kip Pardue,1976-09-23,United States of America,10000000
Kirstie Alley,1951-01-12,United States of America,50000000
Kristen Wiig,1973-08-22,United States of America,40000000
Krysten Ritter,1985-12-16,United States of America,10000000
Kurt Fuller,1953-10-16,United States of America,10000000
Kurt Russell,1951-03-17,United States of America,70000000
Kyle Gallner,1986-02-13,United States of America,5000000
LL Cool J,1968-01-14,United States of America,120000000
Lane Smith,1948-12-27,United States of America,10000000
Larry David,1947-07-02,United States of America,40000000
Laura Dern,1967-02-10,United States of America,20000000
Laura Ramsey,1982-11-14,United States of America,10000000
Laurence Fishburne,1961-07-30,United States of America,60000000
Laz Alonso,1974-03-25,United States of America,10000000
Leonardo DiCaprio,1974-11-11,United States of America,300000000
Lesley Ann Warren,1946-08-16,United States of America,10000000
Levon Helm,1940-05-25,United States of America,10000000
Liam McIntyre,1982-02-08,Australia,5000000
Liam Neeson,1952-06-07,Ireland,150000000
Lionel Stander,1908-01-11,United States of America,10000000
Liza Minnelli,1946-03-12,United States of America,50000000
Lou Jacobi,1909-02-11,Canada,10000000
Louise Lasser,1938-04-11,United States of America,10000000
Luis Guzmán,1956-08-13,Puerto Rico,10000000
Margaret Avery,1944-08-11,United States of America,10000000
Margot Robbie,1990-07-02,Australia,60000000
Marianna Hill,1973-08-28,United States of America,N/A
Marion Cotillard,1975-09-30,France,80000000
Mark Ruffalo,1967-11-22,United States of America,30000000
Mark Rylance,1960-01-18,England,10000000
Mark Strong,1963-08-05,England,16000000
Mark Wahlberg,1971-06-05,United States of America,300000000
Martin Landau,1928-06-20,United States of America,20000000
Martin Short,1950-03-26,Canada,140000000
Mary Elizabeth Mastrantonio,1958-12-17,United States of America,10000000
Mason Cook,2003-09-13,United States of America,N/A
Matt Damon,1970-10-08,United States of America,225000000
Matthew McConaughey,1969-11-04,United States of America,160000000
Matthew Modine,1960-03-09,United States of America,20000000
Max von Sydow,1929-04-25,Sweden,10000000
Mel Gibson,1956-01-03,United States of America,425000000
Meryl Streep,1949-06-22,United States of America,160000000
Mia Farrow,1945-02-09,United States of America,65000000
Mia Wasikowska,1989-10-17,Australia,15000000
Michael Douglas,1944-09-09,United States of America,350000000
Michael Ealy,1973-09-03,United States of America,10000000
Michael Fassbender,1977-04-02,Ireland,35000000
Michael Keaton,1951-09-05,United States of America,100000000
Michael Moriarty,1947-04-26,United States of America,10000000
Michael Rooker,1954-03-22,United States of America,10000000
Michelle Pfeiffer,1958-04-29,United States of America,100000000
Michelle Rodriguez,1978-07-12,United States of America,25000000
Mick Jagger,1943-07-26,England,500000000
Mickey Rourke,1952-09-16,United States of America,50000000
Milla Jovovich,1975-12-17,Ukraine,60000000
Mira Sorvino,1967-09-28,United States of America,20000000
Miranda Otto,1965-11-16,Australia,10000000
Morgan Freeman,1937-06-01,United States of America,250000000
Naomi Watts,1968-09-28,Australia,30000000
Natasha Lyonne,1979-04-04,United States of America,10000000
Ned Beatty,1937-07-06,United States of America,20000000
Nick Nolte,1941-02-08,United States of America,60000000
Nicky Katt,1968-05-20,United States of America,10000000
Nicolas Cage,1964-01-07,United States of America,150000000
Nigel Hawthorne,1929-04-10,England,10000000
Noomi Rapace,1979-12-28,Sweden,10000000
Orlando Bloom,1977-01-13,England,40000000
Ossie Davis,1917-12-18,United States of America,10000000
Owen Wilson,1968-11-18,United States of America,70000000
Patricia Arquette,1968-04-08,United States of America,20000000
Paul Freeman,1946-04-12,England,10000000
Paul Newman,1925-01-26,United States of America,180000000
Pete Postlethwaite,1946-02-07,England,10000000
Peter Gallagher,1955-01-17,United States of America,20000000
Philip Seymour Hoffman,1967-07-23,United States of America,25000000
Priscilla Presley,1945-05-24,United States of America,50000000
Quentin Tarantino,1963-03-27,United States of America,180000000
Rachel McAdams,1978-11-17,Canada,30000000
Ralph Fiennes,1962-12-22,England,30000000
Ray Allen,1975-07-20,United States of America,100000000
Ray Liotta,1954-12-18,United States of America,25000000
Rebecca Hall,1982-10-03,England,10000000
Richard Dreyfuss,1947-10-29,United States of America,80000000
Rick Danko,1943-12-29,Canada,10000000
Robbie Robertson,1943-07-05,Canada,50000000
Robert De Niro,1943-08-17,United States of America,200000000
Robert Englund,1947-06-06,United States of America,10000000
Robert MacNaughton,1963-06-19,United States of America,10000000
Robert Sean Leonard,1969-02-02,United States of America,10000000
Robert Shaw,1927-08-09,England,10000000
Robin Williams,1951-07-21,United States of America,200000000
Rooney Mara,1985-04-17,United States of America,16000000
Rosario Dawson,1979-03-09,United States of America,12000000
Rowan Blanchard,2001-10-14,United States of America,N/A
Roy Scheider,1932-07-10,United States of America,10000000
Ruby Barnhill,2004-07-12,England,N/A
Ruby Dee,1922-07-27,United States of America,10000000
Rupert Friend,1981-10-09,England,10000000
Russell Crowe,1964-04-07,New Zealand,80000000
Rutger Hauer,1944-01-23,Netherlands,20000000
Ryan Phillippe,1974-09-11,United States of America,30000000
Sacha Baron Cohen,1971-10-13,United Kingdom,160000000
Saffron Burrows,1972-10-22,England,10000000
Sally Field,1946-11-06,United States of America,80000000
Sally Hawkins,1976-04-27,England,20000000
Salma Hayek,1966-09-02,Mexico,110000000
Sam Neill,1947-09-14,New Zealand,20000000
Sam Robards,1948-11-11,United States of America,10000000
Samantha Morton,1977-05-13,England,10000000
Samuel L. Jackson,1948-12-21,United States of America,250000000
Sarah Jessica Parker,1965-03-25,United States of America,200000000
Savion Glover,1968-11-19,United States of America,10000000
Scarlett Johansson,1984-11-22,United States of America,160000000
Scott Bakula,1954-09-09,United States of America,20000000
Sean Connery,1930-08-25,Scotland,350000000
Sean Penn,1960-08-17,United States of America,200000000
Sean Young,1959-02-20,United States of America,10000000
Sharon Stone,1958-03-10,United States of America,60000000
Shia LaBeouf,1986-06-11,United States of America,25000000
Sienna Miller,1981-12-28,England,25000000
Sigourney Weaver,1949-10-08,United States of America,80000000
Spike Lee,1957-03-20,United States of America,200000000
Stanley Tucci,1960-11-11,United States of America,40000000
Stellan Skarsgård,1951-06-13,Sweden,20000000
Steve Harvey,1957-01-17,United States of America,200000000
Steven Strait,1986-03-23,United States of America,10000000
Sylvester Stallone,1946-07-06,United States of America,400000000
Taylor Dooley,1993-07-17,United States of America,5000000
Taylor Lautner,1992-02-11,United States of America,40000000
Tencho Gyalpo,1954-04-07,Bhutan,N/A
Tenzin Thuthob Tsarong,1954-04-07,Bhutan,N/A
Terence Stamp,1938-07-22,England,10000000
Teri Garr,1949-01-11,United States of America,10000000
Theresa Randle,1964-02-12,United States of America,10000000
Thomas Jane,1969-02-22,United States of America,20000000
Til Schweiger,1963-12-19,Germany,20000000
Tim Robbins,1958-10-16,United States of America,50000000
Tim Roth,1961-05-14,England,30000000
Tobey Maguire,1975-06-27,United States of America,100000000
Toby Kebbell,1982-09-09,England,10000000
Tom Cruise,1962-07-03,United States of America,600000000
Tom Hanks,1956-07-09,United States of America,400000000
Tom Hiddleston,1981-02-09,England,40000000
Tom Skerritt,1933-08-25,United States of America,10000000
Tommy Davidson,1963-10-10,United States of America,10000000
Tommy Lee Jones,1946-09-07,United States of America,100000000
Tommy Redmond Hicks,1961-09-16,United States of America,N/A
Tony Kgoroge,1952-02-11,South Africa,10000000
Tony Roberts,1939-10-22,United States of America,10000000
Tracey Ullman,1959-12-30,England,30000000
Tracy Camilla Johns,1966-12-13,United States of America,10000000
Tsewang Migyur Khangsar,1971-01-01,India,N/A
Tsuyoshi Ihara,1963-01-28,Japan,10000000
Tuesday Knight,1975-09-02,United States of America,10000000
Téa Leoni,1966-06-25,United States of America,20000000
Val Kilmer,1959-12-31,United States of America,25000000
Verna Bloom,1938-08-07,United States of America,10000000
Veronica Cartwright,1949-04-16,United States of America,10000000
Vic Morrow,1929-02-14,United States of America,10000000
Viggo Mortensen,1958-10-20,United States of America,30000000
Vin Diesel,1967-07-18,United States of America,225000000
Vincent Piazza,1976-03-20,United States of America,10000000
Ving Rhames,1959-05-12,United States of America,20000000
Wayne Newton,1942-04-03,United States of America,20000000
Wesley Snipes,1962-07-31,United States of America,50000000
Whoopi Goldberg,1955-11-13,United States of America,60000000
Willem Dafoe,1955-07-22,United States of America,40000000
William Atherton,1947-12-30,United States of America,10000000
Winona Ryder,1971-10-29,United States of America,100000000
Woody Allen,1935-12-01,United States of America,160000000
Yvonne Zima,1982-01-09,United States of America,10000000
Zaraah Abrahams,1984-02-07,England,10000000
Zoë Bell,1979-11-20,New Zealand,10000000
